Date,Transaction_ID,Item_purchase_quantity,Item_revenue,ItemName,ItemBrand,ItemCategory,ItemID
2024-06-09,5676378095856,1,599.0,ITEM1,ITEM_BRAND1,CATEGORY_1,8520953102576_45150363484400
2024-06-09,5676534563056,1,67.99,ITEM2,ITEM_BRAND1,CATEGORY_1,778420027445_12899989848117
2024-06-09,5676682019056,1,249.99,ITEM3,ITEM_BRAND1,CATEGORY_1,8050955485424_43248415637744
2024-06-09,5676760203504,1,67.99,ITEM4,ITEM_BRAND1,CATEGORY_2,8140843974896_43560648311024
2024-06-09,5676872302832,1,139.99,ITEM5,ITEM_BRAND1,CATEGORY_1,1427116621877_38103328751789
2024-06-09,5676872302832,1,9.99,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-09,5676891537648,1,9.99,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-09,5676899139824,1,169.99,ITEM7,ITEM_BRAND1,CATEGORY_1,1427116261429_38103388684461
2024-06-09,5676899139824,1,14.24,ITEM8,ITEM_BRAND1,CATEGORY_2,1463880908853_12906936893493
2024-06-09,5676899139824,1,12.99,ITEM9,ITEM_BRAND1,CATEGORY_1,3720457158709_28831514329141
2024-06-09,5676919259376,1,35.99,ITEM10,ITEM_BRAND1,CATEGORY_2,1459498057781_44672301105392
2024-06-09,5676919259376,1,499.99,ITEM11,ITEM_BRAND1,CATEGORY_1,1491773423669_13020608725045
2024-06-09,5676919259376,1,85.49,ITEM12,ITEM_BRAND1,CATEGORY_2,6768903028909_40135680688301
2024-06-09,5676919390448,2,379.98,ITEM13,ITEM_BRAND1,CATEGORY_1,645891326005_7797174370357
2024-06-09,5676925714672,1,19.99,ITEM14,ITEM_BRAND1,CATEGORY_3,1463871176757_12906922082357
2024-06-09,5676929319152,1,129.99,ITEM15,ITEM_BRAND1,CATEGORY_1,780005474357_12900041752629
2024-06-09,5676958154992,1,149.99,ITEM16,ITEM_BRAND1,CATEGORY_1,780009046069_12900053286965
2024-06-09,5676958548208,1,24.99,ITEM17,ITEM_BRAND1,CATEGORY_1,1427235536949_12897787838517
2024-06-09,5677057999088,1,24.99,ITEM17,ITEM_BRAND1,CATEGORY_1,1427235536949_12897787838517
2024-06-09,5677057999088,1,12.99,ITEM18,ITEM_BRAND1,CATEGORY_1,4537257721909_42295538385136
2024-06-09,5677086507248,2,79.98,ITEM19,ITEM_BRAND1,CATEGORY_1,1427237077045_12784090415157
2024-06-09,5677086507248,1,44.99,ITEM20,ITEM_BRAND1,CATEGORY_1,807289126965_8581756911669
2024-06-09,5677096173808,1,109.99,ITEM21,ITEM_BRAND1,CATEGORY_1,1427115474997_38103370563757
2024-06-09,5677105610992,1,9.99,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-09,5677105610992,1,161.49,ITEM22,ITEM_BRAND1,CATEGORY_1,8068595450096_43308687393008
2024-06-09,5677107511536,1,139.99,ITEM16,ITEM_BRAND1,CATEGORY_1,780009046069_12900053188661
2024-06-09,5677122486512,1,99.99,ITEM23,ITEM_BRAND1,CATEGORY_1,1609857105973_14140992225333
2024-06-09,5677138018544,1,139.99,ITEM5,ITEM_BRAND1,CATEGORY_1,1427116621877_38103328751789
2024-06-09,5677170557168,1,169.99,ITEM7,ITEM_BRAND1,CATEGORY_1,1427116261429_38103388684461
2024-06-09,5677170557168,1,29.99,ITEM24,ITEM_BRAND1,CATEGORY_1,1460324696117_12900055810101
2024-06-09,5677199327472,1,139.99,ITEM5,ITEM_BRAND1,CATEGORY_1,1427116621877_38103328751789
2024-06-09,5677207355632,1,69.99,ITEM25,ITEM_BRAND1,CATEGORY_2,1427124125749_39423755157677
2024-06-09,5677207355632,1,189.99,ITEM13,ITEM_BRAND1,CATEGORY_1,645891326005_7797174370357
2024-06-09,5677207355632,1,9.99,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-09,5677215875312,1,125.99,ITEM25,ITEM_BRAND1,CATEGORY_2,1427124125749_39423755190445
2024-06-09,5677227770096,1,119.99,ITEM26,ITEM_BRAND1,CATEGORY_1,6589343400109_39471855108269
2024-06-09,5677247561968,1,39.99,ITEM24,ITEM_BRAND1,CATEGORY_1,1460324696117_12900066492469
2024-06-09,5677248905456,1,39.99,ITEM27,ITEM_BRAND1,CATEGORY_1,1460340064309_12900079894581
2024-06-09,5677267845360,1,249.99,ITEM3,ITEM_BRAND1,CATEGORY_1,8050955485424_43248415637744
2024-06-09,5677274136816,2,186.98,ITEM21,ITEM_BRAND1,CATEGORY_1,1427115474997_38103370563757
2024-06-09,5677274136816,1,29.99,ITEM24,ITEM_BRAND1,CATEGORY_1,1460324696117_12900055810101
2024-06-09,5677274136816,2,19.98,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-09,5677338689776,1,127.49,ITEM16,ITEM_BRAND1,CATEGORY_1,780009046069_12900053286965
2024-06-09,5677386989808,1,19.99,ITEM14,ITEM_BRAND1,CATEGORY_3,1463871176757_12906922082357
2024-06-09,5677386989808,1,79.99,ITEM2,ITEM_BRAND1,CATEGORY_1,778420027445_12899989848117
2024-06-09,5677401112816,2,219.98,ITEM21,ITEM_BRAND1,CATEGORY_1,1427115474997_38103370563757
2024-06-09,5677422903536,1,85.49,ITEM12,ITEM_BRAND1,CATEGORY_2,6768903028909_40135680688301
2024-06-09,5677422903536,1,9.99,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-09,5677468942576,1,74.99,ITEM19,ITEM_BRAND1,CATEGORY_1,1427237077045_12897852391477
2024-06-10,5677694255344,1,59.99,ITEM27,ITEM_BRAND1,CATEGORY_1,1460340064309_12900086743093
2024-06-10,5677703168240,1,14.99,ITEM28,ITEM_BRAND1,CATEGORY_1,1501600841781_13065952165941
2024-06-10,5677703168240,1,14.99,ITEM29,ITEM_BRAND1,CATEGORY_1,1501601824821_13065959538741
2024-06-10,5677712834800,1,9.99,ITEM6,ITEM_BRAND1,CATEGORY_1,6873012371629_40487654031533
2024-06-10,5677712834800,1,189.99,ITEM22,ITEM_BRAND1,CATEGORY_1,8068595450096_43308687393008
2024-06-10,5677719159024,1,161.49,ITEM22,ITEM_BRAND1,CATEGORY_1,8068595450096_43308687393008
2024-06-10,5677721977072,1,24.99,ITEM17,ITEM_BRAND1,CATEGORY_1,1427235536949_12897787838517
2024-06-10,5677721977072,2,79.98,ITEM19,ITEM_BRAND1,CATEGORY_1,1427237077045_12784090415157
2024-06-10,5677825097968,1,59.99,ITEM2,ITEM_BRAND1,CATEGORY_1,778420027445_12899989651509
2024-06-10,5677839581424,1,34.99,ITEM30,ITEM_BRAND1,CATEGORY_1,8141670416624_44716179751152
2024-06-10,5677908099312,1,84.99,ITEM31,ITEM_BRAND1,CATEGORY_1,780006916149_12900048338997
2024-06-10,5677931266288,1,109.99,ITEM21,ITEM_BRAND1,CATEGORY_1,1427115474997_38103370563757
2024-06-10,5677952794864,1,161.49,ITEM22,ITEM_BRAND1,CATEGORY_1,8068595450096_43308687393008
2024-06-10,5677964198128,2,44.16,ITEM32,ITEM_BRAND1,CATEGORY_1,8539750891760_45198935785712
2024-06-10,5677977239792,1,69.99,ITEM33,ITEM_BRAND1,CATEGORY_1,1427123830837_39423721144493
2024-06-10,5677977239792,1,69.99,ITEM25,ITEM_BRAND1,CATEGORY_2,1427124125749_39423755157677
2024-06-10,5677977403632,1,19.99,ITEM14,ITEM_BRAND1,CATEGORY_3,1463871176757_12906922082357
2024-06-10,5677977403632,1,59.99,ITEM2,ITEM_BRAND1,CATEGORY_1,778420027445_12899989651509
2024-06-10,5677980025072,1,110.49,ITEM15,ITEM_BRAND1,CATEGORY_1,780005474357_12900041752629
2024-06-10,5678027931888,1,139.99,ITEM5,ITEM_BRAND1,CATEGORY_1,1427116621877_38103328751789
