user_pseudo_id,event_name,category,city,region,country,source,medium,purchase_revenue,total_item_quantity,transaction_id,eventDate,eventTimestamp,gender,Age,page_type,income_group,page_path
1789250678.1747131,session_start,mobile,Poquoson,Virginia,United States,Facebook,PaidSocial,,,,13/05/2025,21:57.9,male,35-44,homepage,Top 10%,https://demo.com/
1789250678.1747131,page_view,mobile,Poquoson,Virginia,United States,Facebook,PaidSocial,,,,13/05/2025,21:57.9,female,above 64,homepage,below 50%,https://demo.com/
1788384367.174714,session_start,mobile,Carthage,New York,United States,Facebook,PaidSocial,,,,13/05/2025,38:07.0,male,45-54,collections,11-20%,https://demo.com/collections/
1788384367.174714,page_view,mobile,Carthage,New York,United States,Facebook,PaidSocial,,,,13/05/2025,38:07.0,male,45-54,collections,11-20%,https://demo.com/collections/
1198795833.1747146,page_view,mobile,Phoenix,Arizona,United States,(direct),(none),,,,13/05/2025,20:32.9,male,25-34,products,Top 10%,https://demo.com/products/ITEM377/
1198795833.1747146,view_item,mobile,Phoenix,Arizona,United States,(direct),(none),,1,(not set),13/05/2025,20:33.0,male,25-34,products,Top 10%,https://demo.com/products/ITEM204/
1484874181.174714,session_start,desktop,New York,New York,United States,(direct),(none),,,,13/05/2025,02:48.4,male,18-24,collections,Top 10%,https://demo.com/collections/
1484874181.174714,page_view,desktop,New York,New York,United States,(direct),(none),,,,13/05/2025,02:48.4,female,55-64,collections,31-40%,https://demo.com/collections/
1484874181.174714,page_view,desktop,New York,New York,United States,(direct),(none),,,,13/05/2025,03:07.3,male,45-54,collections,11-20%,https://demo.com/collections/
1845060042.1747148,session_start,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,07:00.3,male,45-54,products,11-20%,https://demo.com/products/ITEM378/
1845060042.1747148,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,07:00.3,male,18-24,products,Top 10%,https://demo.com/products/ITEM379/
1845060042.1747148,view_item,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,07:00.3,female,above 64,products,below 50%,https://demo.com/products/ITEM205/
1845060042.1747148,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,07:03.8,female,55-64,products,21-30%,https://demo.com/products/ITEM380/
1845060042.1747148,add_to_cart,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,07:30.4,male,25-34,products,Top 10%,https://demo.com/products/ITEM205/
1845060042.1747148,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,07:54.5,male,25-34,checkouts,Top 10%,https://demo.com/checkouts/cn/Z2NwLXVzLWNlbnRyYWwxOjAxSlY1MlpOVjAyQjY2Q0RYRU4ySjRIS0JN?auto_redirect=false&edge_redirect=true&locale=en&skip_shop_pay=true
1845060042.1747148,add_to_cart,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,08:28.8,male,25-34,products,Top 10%,https://demo.com/products/ITEM205/
1845060042.1747148,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,08:51.2,male,35-44,checkouts,Top 10%,https://demo.com/checkouts/cn/Z2NwLXVzLXdlc3QxOjAxSlY1MlpHTUFEV1RaTkpIR1NaSjk3WUpB
1845060042.1747148,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,09:22.3,male,45-54,products,11-20%,https://demo.com/products/ITEM381/
1845060042.1747148,view_item,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,09:22.3,male,35-44,products,11-20%,https://demo.com/products/ITEM205/
1845060042.1747148,add_to_cart,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,10:05.0,male,25-34,products,Top 10%,https://demo.com/products/ITEM205/
1845060042.1747148,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,,13/05/2025,10:30.9,male,45-54,products,11-20%,https://demo.com/products/ITEM382/
1845060042.1747148,view_item,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,10:30.9,male,18-24,products,Top 10%,https://demo.com/products/ITEM205/
1845060042.1747148,add_to_cart,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,10:31.4,male,25-34,products,Top 10%,https://demo.com/products/ITEM205/
1845060042.1747148,add_to_cart,desktop,Santa Clara,California,United States,(direct),(none),,1,(not set),13/05/2025,10:35.6,male,35-44,products,Top 10%,https://demo.com/products/ITEM205/
