user_pseudo_id,event_name,category,city,region,country,source,medium,purchase_revenue,total_item_quantity,transaction_id,eventDate,eventTimestamp,gender,Age,page_type,income_group,page_path,Date,Transaction_ID,Item_purchase_quantity,Item_revenue,ItemName,ItemBrand,ItemCategory,ItemID,full_timestamp,session_start,session_number
807396.1747160432,session_start,mobile,,Iowa,United States,google,organic,,,nan,2025-05-13,,male,45-54,pages,11-20%,https://demo.com/pages/,,,0.0,0.0,None,None,None,None,,0,0
807396.1747160432,page_view,mobile,,Iowa,United States,google,organic,,,nan,2025-05-13,,female,55-64,pages,21-30%,https://demo.com/pages/,,,0.0,0.0,None,None,None,None,,0,0
7086535.174717374,session_start,desktop,Dallas,Texas,United States,(direct),(none),,,nan,2025-05-13,,male,45-54,pages,11-20%,https://demo.com/pages/,,,0.0,0.0,None,None,None,None,,0,0
19653580.17471204,session_start,desktop,Santa Clara,California,United States,(direct),(none),,,nan,2025-05-13,,male,35-44,homepage,11-20%,https://demo.com/,,,0.0,0.0,None,None,None,None,,0,0
19653580.17471204,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,nan,2025-05-13,,female,55-64,homepage,31-40%,https://demo.com/,,,0.0,0.0,None,None,None,None,,0,0
19653580.17471204,page_view,desktop,Santa Clara,California,United States,(direct),(none),,,nan,2025-05-13,,male,45-54,homepage,11-20%,https://demo.com/,,,0.0,0.0,None,None,None,None,,0,0
20143927.174715705,session_start,mobile,Hartford,Connecticut,United States,google,organic,,,nan,2025-05-13,,male,18-24,products,Top 10%,https://demo.com/products/ITEM425/,,,0.0,0.0,None,None,None,None,,0,0
20143927.174715705,page_view,mobile,Hartford,Connecticut,United States,google,organic,,,nan,2025-05-13,,male,45-54,products,11-20%,https://demo.com/products/ITEM426/,,,0.0,0.0,None,None,None,None,,0,0
20143927.174715705,view_item,mobile,Hartford,Connecticut,United States,google,organic,,1.0,(not set),2025-05-13,,male,25-34,products,Top 10%,https://demo.com/products/ITEM34/,,,0.0,0.0,None,None,None,None,,0,0
20143927.174715705,page_view,mobile,Hartford,Connecticut,United States,google,organic,,,nan,2025-05-13,,female,55-64,products,41-50%,https://demo.com/products/ITEM427/,,,0.0,0.0,None,None,None,None,,0,0
21473398.17466714,session_start,mobile,Clear Lake,South Dakota,United States,(direct),(none),,,nan,2025-05-13,,male,45-54,products,11-20%,https://demo.com/products/ITEM436/,,,0.0,0.0,None,None,None,None,,0,0
21473398.17466714,page_view,mobile,Clear Lake,South Dakota,United States,(direct),(none),,,nan,2025-05-13,,male,25-34,products,Top 10%,https://demo.com/products/ITEM437/,,,0.0,0.0,None,None,None,None,,0,0
